,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm,numberObservations,aspectMode
9,2017-12-10,Sangre,<TL,2498.444444444445,5.5555555555555545,9.333333333333334,-9.111111111111107,-19.444444444444443,15.0,6.222222222222222,204.22222222222226,13.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,1.02,no,20,0,
10,2017-12-11,Sangre,<TL,2498.444444444445,7.888888888888887,10.222222222222221,-7.0,-20.0,11.666666666666664,5.777777777777778,152.55555555555554,11.111111111111107,0.0,0.0,0.0,0.0,0.0,2.5,0.76,no,21,0,
11,2017-12-12,Sangre,<TL,2498.444444444445,7.888888888888887,12.444444444444445,-7.222222222222222,-14.111111111111107,19.0,5.0,157.77777777777774,12.555555555555555,0.0,0.0,0.0,0.0,0.0,2.5,0.76,no,22,0,
12,2017-12-13,Sangre,<TL,2498.444444444445,7.1111111111111125,12.666666666666664,-6.1111111111111125,-14.111111111111107,20.555555555555557,2.7777777777777777,133.77777777777777,8.444444444444445,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.76,no,23,0,
13,2017-12-14,Sangre,<TL,2480.3,-2.1,9.7,-6.4,-6.7,69.4,4.3,203.5,16.2,0.0,0.06500000000000003,0.030000000000000006,3.9899999999999993,0.21800000000000005,4.54,0.76,yes,0,0,
14,2017-12-15,Sangre,<TL,2498.444444444445,2.333333333333333,3.0,-12.777777777777779,-15.0,27.11111111111111,5.666666666666668,235.77777777777766,16.77777777777778,0.0,0.008888888888888889,0.08333333333333333,0.05555555555555555,0.0,1.3888888888888888,1.02,no,1,0,
15,2017-12-16,Sangre,<TL,2498.444444444445,6.1111111111111125,7.777777777777778,-8.0,-14.0,22.66666666666667,3.333333333333333,221.88888888888889,9.0,0.0,0.0066666666666666645,0.0,0.0,0.13,1.3888888888888888,1.27,no,2,0,
16,2017-12-17,Sangre,<TL,2498.444444444445,1.3333333333333333,9.222222222222221,-6.222222222222222,-12.555555555555555,35.444444444444436,6.4444444444444455,185.0,15.333333333333336,0.0,0.0,0.08333333333333333,0.0,0.0,2.5,1.02,no,3,0,
17,2017-12-18,Sangre,<TL,2498.444444444445,4.2222222222222205,6.0,-8.222222222222221,-15.444444444444445,23.0,9.111111111111107,203.44444444444446,18.777777777777786,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.76,no,4,0,
18,2017-12-19,Sangre,<TL,2498.444444444445,4.333333333333333,8.333333333333334,-8.0,-11.333333333333336,30.33333333333333,4.333333333333333,119.77777777777777,9.444444444444443,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.76,no,5,0,
19,2017-12-20,Sangre,<TL,2498.444444444445,6.1111111111111125,8.777777777777779,-6.666666666666668,-12.777777777777779,25.66666666666667,9.333333333333334,211.0,22.555555555555557,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,1.02,no,6,0,
20,2017-12-21,Sangre,<TL,2507.0,-3.75,9.625,-4.75,-8.25,73.625,8.5,129.125,22.875,0.0,0.0,0.0,0.0,0.28,2.5,0.76,no,7,0,
21,2017-12-22,Sangre,<TL,2480.3,-2.9,-0.3,-14.5,-11.4,54.0,3.1,176.4,9.8,0.0,0.12300000000000001,0.06000000000000001,2.39,0.38,2.17,0.51,yes,0,0,
22,2017-12-23,Sangre,<TL,2498.444444444445,1.4444444444444444,2.1111111111111107,-9.0,-11.333333333333336,38.0,15.777777777777779,247.11111111111111,33.0,0.0,0.03333333333333334,0.11666666666666667,0.0,0.05,0.7222222222222222,0.76,no,1,0,
23,2017-12-24,Sangre,<TL,2498.444444444445,1.3333333333333333,4.666666666666667,-9.333333333333334,-23.44444444444445,15.444444444444445,21.22222222222221,266.3333333333333,38.444444444444436,0.0,0.0033333333333333327,0.08333333333333333,0.03333333333333333,0.0,1.8333333333333333,0.76,no,2,0,
24,2017-12-25,Sangre,<TL,2498.444444444445,3.4444444444444446,4.2222222222222205,-4.888888888888889,-6.5555555555555545,50.0,14.666666666666664,252.0,33.44444444444444,0.0,0.022222222222222227,0.0,1.6888888888888889,0.13,1.8333333333333333,0.76,yes,0,0,
25,2017-12-26,Sangre,<TL,2487.3,4.8,5.6,-5.1,-11.5,30.5,14.8,269.2,27.8,0.0,0.02,0.0,0.0,0.43,0.0,1.02,no,1,0,
26,2017-12-27,Sangre,<TL,2487.3,3.5,6.9,-7.3,-14.7,27.6,18.3,266.9,33.3,0.0,0.006,0.0,0.0,0.0,0.0,1.02,no,2,0,
27,2017-12-28,Sangre,<TL,2487.3,6.7,8.3,-2.7,-15.9,18.5,9.4,249.6,19.6,0.0,0.0,0.0,0.0,0.0,1.0,0.76,no,3,0,
28,2017-12-29,Sangre,<TL,2487.3,8.2,9.7,-1.7,-16.2,15.8,12.3,245.4,25.2,0.0,0.0,0.075,0.0,0.0,0.0,1.02,no,4,0,
29,2017-12-30,Sangre,<TL,2487.3,8.6,11.9,-3.7,-19.6,12.8,13.3,239.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,5,0,
30,2017-12-31,Sangre,<TL,2487.3,1.9,13.7,-6.2,-14.1,38.3,8.6,111.7,20.6,0.0,0.0,0.075,0.0,0.0,0.0,0.76,no,6,0,
31,2018-01-01,Sangre,<TL,2487.3,2.1,6.4,-10.6,-13.8,30.0,6.0,173.9,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,7,0,
32,2018-01-02,Sangre,<TL,2487.3,0.5,7.5,-10.3,-18.2,22.9,7.1,228.2,18.8,0.0,0.0,0.075,0.0,0.0,0.0,0.51,no,8,0,
33,2018-01-03,Sangre,<TL,2487.3,2.6,6.7,-11.7,-23.3,12.7,5.1,162.4,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,no,9,0,
34,2018-01-04,Sangre,<TL,2487.3,3.0,7.1,-10.2,-24.1,12.1,5.9,243.5,12.4,0.0,0.0,0.075,0.0,0.0,0.0,0.51,no,10,0,
35,2018-01-05,Sangre,<TL,2487.3,4.0,8.4,-8.5,-19.0,16.9,2.9,172.8,9.4,0.0,0.0,0.075,0.0,0.0,0.0,0.51,no,11,0,
36,2018-01-06,Sangre,<TL,2487.3,5.4,10.6,-4.0,-11.0,29.7,9.0,222.3,19.1,0.0,0.0,0.075,0.0,0.0,0.0,0.76,no,12,0,
37,2018-01-07,Sangre,<TL,2487.3,2.5,8.8,-2.8,-7.8,49.0,9.5,227.3,20.9,0.0,0.009000000000000001,0.087,0.03,1.2200000000000002,1.0,1.02,no,13,0,
38,2018-01-08,Sangre,<TL,2487.3,6.4,8.2,-6.4,-10.1,30.0,3.2,222.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,1.02,no,14,0,
39,2018-01-09,Sangre,<TL,2487.3,10.1,11.6,0.8,-5.4,33.9,12.1,272.6,23.1,0.0,0.0,0.075,0.0,0.07999999999999999,0.0,1.02,no,15,0,
40,2018-01-10,Sangre,<TL,2487.3,5.1,13.3,0.8,-3.2,55.1,13.1,263.4,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.76,no,16,0,
41,2018-01-11,Sangre,<TL,2513.0,-1.0,8.0,-9.777777777777779,-15.111111111111107,33.333333333333336,7.4444444444444455,204.33333333333331,16.444444444444443,0.0,0.0488888888888889,0.17222222222222222,0.2444444444444444,0.0,1.4,0.76,no,17,0,
42,2018-01-12,Sangre,<TL,2487.3,1.7,2.9,-8.7,-10.2,43.7,14.7,259.0,34.9,0.0,0.005,0.02,0.0,0.0,1.0,1.27,no,18,0,
43,2018-01-13,Sangre,<TL,2487.3,0.6,4.2,-10.7,-11.4,41.2,9.2,198.3,17.3,0.0,0.006,0.0,0.0,0.12999999999999998,0.0,1.02,no,19,0,
44,2018-01-14,Sangre,<TL,2487.3,4.4,6.0,-7.8,-9.6,35.4,5.4,181.7,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,20,0,
45,2018-01-15,Sangre,<TL,2487.3,-1.8,8.4,-8.0,-9.9,60.1,4.6,176.0,13.3,0.0,0.0,0.0,0.0,0.0,1.0,0.51,no,21,0,
46,2018-01-16,Sangre,<TL,2471.818181818182,-6.1818181818181825,-1.0909090909090908,-13.909090909090908,-10.909090909090908,67.81818181818181,5.636363636363638,282.1818181818182,12.454545454545455,0.0,0.004545454545454546,0.0,0.5181818181818182,0.002727272727272727,0.4727272727272727,0.0,no,22,0,
47,2018-01-17,Sangre,<TL,2487.3,1.1,2.3,-13.2,-15.3,30.5,3.8,167.9,10.0,0.0,0.0,0.075,0.0,0.0,0.0,0.51,no,23,0,
48,2018-01-18,Sangre,<TL,2487.3,5.1,8.4,-9.2,-13.8,24.2,6.2,153.1,13.1,0.0,0.0,0.075,0.0,0.0,0.0,0.76,no,24,0,
49,2018-01-19,Sangre,<TL,2487.3,8.3,9.6,-4.3,-13.0,20.9,7.7,241.9,17.6,0.0,0.0,0.153,0.0,0.0,0.0,1.02,no,25,0,
50,2018-01-20,Sangre,<TL,2487.3,8.9,11.6,-2.5,-8.2,29.5,13.9,203.9,31.0,0.0,0.0,0.075,4.5600000000000005,0.0,1.0,0.76,yes,0,0,
51,2018-01-21,Sangre,<TL,2476.0,-6.5,10.4,-7.1,-8.3,85.2,7.6,139.3,16.9,0.0,0.135,0.0,3.16,0.1,18.81,1.27,yes,0,0,
52,2018-01-22,Sangre,<TL,2480.3,-6.4,-4.9,-16.6,-15.0,50.4,9.9,224.8,21.3,0.0,0.14900000000000002,0.071,4.0,0.9229999999999999,9.68,1.52,yes,0,0,
53,2018-01-23,Sangre,<TL,2498.444444444445,-1.4444444444444444,-0.6666666666666666,-14.555555555555555,-14.0,37.77777777777778,2.888888888888889,152.55555555555554,10.555555555555557,0.0,0.1855555555555556,0.3533333333333333,0.0,0.0,6.644444444444442,1.78,no,1,0,
54,2018-01-24,Sangre,<TL,2498.444444444445,1.8888888888888888,3.0,-13.222222222222221,-15.222222222222221,28.555555555555557,8.222222222222221,249.5555555555556,16.22222222222222,0.0,0.028888888888888888,0.17,0.0,0.0,5.488888888888887,2.29,no,2,0,
55,2018-01-25,Sangre,<TL,2498.444444444445,4.0,6.222222222222222,-8.444444444444445,-14.555555555555555,25.66666666666667,7.666666666666668,236.88888888888889,18.666666666666668,0.0,0.0066666666666666645,0.08333333333333333,0.0,0.0,4.911111111111111,2.29,no,3,0,
56,2018-01-26,Sangre,<TL,2493.6666666666665,-2.0,8.0,-3.888888888888889,-12.666666666666664,47.77777777777778,12.555555555555555,275.44444444444446,30.0,0.0,0.0,0.0,0.0,0.03,5.333333333333333,1.52,no,4,0,
57,2018-01-27,Sangre,<TL,2487.3,-1.3,0.1,-15.6,-20.8,22.5,7.8,235.0,18.9,0.0,0.0,0.0,0.0,0.0,4.54,1.78,no,5,0,
58,2018-01-28,Sangre,<TL,2487.3,3.9,4.0,-8.5,-12.4,29.4,7.7,217.2,18.8,0.0,0.0,0.075,0.0,0.0,3.06,2.03,no,6,0,
59,2018-01-29,Sangre,<TL,2487.3,4.4,7.3,-7.9,-9.5,36.1,5.9,200.1,14.3,0.0,0.0,0.0,0.0,0.0,2.3,2.03,no,7,0,
60,2018-01-30,Sangre,<TL,2487.3,6.7,9.4,-4.4,-12.3,26.3,11.2,254.4,23.1,0.0,0.0,0.153,0.0,0.0,2.3,2.03,no,8,0,
61,2018-01-31,Sangre,<TL,2502.6666666666665,9.222222222222221,11.444444444444445,0.2222222222222222,-13.0,19.555555555555557,16.444444444444443,233.44444444444446,38.77777777777778,0.0,0.0,0.0,0.0,0.0,2.2666666666666666,2.03,no,9,0,
62,2018-02-01,Sangre,<TL,2487.3,4.9,12.7,-1.9,-8.9,38.7,11.7,175.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,1.52,no,10,0,
63,2018-02-02,Sangre,<TL,2493.6666666666665,7.888888888888887,10.444444444444443,-4.0,-5.222222222222221,38.888888888888886,11.444444444444445,245.66666666666663,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,no,11,0,
64,2018-02-03,Sangre,<TL,2502.6666666666665,6.666666666666668,11.444444444444445,-1.8888888888888888,-7.222222222222222,35.0,14.111111111111107,245.33333333333331,28.222222222222207,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,12,0,
65,2018-02-04,Sangre,<TL,2502.6666666666665,6.333333333333332,9.777777777777779,-1.6666666666666667,-7.555555555555554,36.444444444444436,13.222222222222221,262.8888888888889,26.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,13,0,
66,2018-02-05,Sangre,<TL,2502.6666666666665,7.0,11.666666666666664,0.7777777777777778,-8.777777777777779,32.22222222222222,21.444444444444443,258.0,43.0,0.0,0.0066666666666666645,0.0,0.0,0.0,0.0,0.76,no,14,0,
67,2018-02-06,Sangre,<TL,2490.1111111111113,-0.1111111111111111,10.555555555555557,-4.333333333333333,-2.888888888888889,80.33333333333333,3.4444444444444446,179.33333333333337,11.222222222222221,0.03,0.20777777777777776,0.25,4.544444444444443,0.2555555555555556,24.822222222222226,1.27,yes,0,0,
68,2018-02-07,Sangre,<TL,2502.6666666666665,0.7777777777777778,4.4444444444444455,-10.777777777777779,-12.0,38.55555555555557,7.777777777777778,271.6666666666667,18.444444444444443,0.0,0.18000000000000002,0.25,0.4666666666666667,0.0,4.533333333333333,1.78,no,1,0,
69,2018-02-08,Sangre,<TL,2502.6666666666665,6.666666666666668,7.333333333333332,-5.333333333333333,-8.666666666666666,32.888888888888886,7.1111111111111125,248.5555555555556,15.777777777777779,0.0,0.0066666666666666645,0.25,0.0,0.0,3.3777777777777778,2.03,no,2,0,
70,2018-02-09,Sangre,<TL,2502.6666666666665,7.1111111111111125,9.444444444444443,-2.555555555555556,-8.222222222222221,34.0,11.666666666666664,240.88888888888889,23.555555555555557,0.0,0.0,0.25,0.0,0.0,1.1111111111111112,2.03,no,3,0,
71,2018-02-10,Sangre,<TL,2484.1,2.2,11.0,-5.1,-9.0,51.0,14.4,140.6,32.3,0.05,0.0,0.0,0.0,0.0,1.0,1.78,no,4,0,
72,2018-02-11,Sangre,<TL,2484.1,-4.1,3.9,-16.7,-13.2,49.5,7.0,202.7,16.3,0.0,0.342,0.0,7.77,2.5460000000000003,12.510000000000002,4.065,yes,0,0,
73,2018-02-12,Sangre,<TL,2502.6666666666665,1.4444444444444444,1.7777777777777777,-10.888888888888893,-5.666666666666668,61.33333333333334,10.222222222222221,183.33333333333331,27.555555555555557,0.0,0.07111111111111111,0.0,0.0,0.0,8.366666666666667,3.8677777777777766,no,1,0,
74,2018-02-13,Sangre,<TL,2502.6666666666665,6.222222222222222,6.222222222222222,-2.7777777777777777,-6.333333333333332,41.111111111111114,13.777777777777779,215.66666666666663,32.333333333333336,0.0,0.16777777777777775,0.51,0.1111111111111111,0.0,5.255555555555556,3.3,no,2,0,
75,2018-02-14,Sangre,<TL,2485.5,6.875,7.625,-0.875,-8.0,33.125,17.25,233.625,37.5,0.0,0.0,0.0,0.0,0.05,2.85,3.3,no,3,0,
76,2018-02-15,Sangre,<TL,2502.6666666666665,2.555555555555556,7.4444444444444455,-1.0,-6.1111111111111125,53.111111111111114,15.666666666666664,243.5555555555556,34.666666666666664,0.0,0.03666666666666667,0.0,0.0,0.1,4.533333333333333,2.79,no,4,0,
77,2018-02-16,Sangre,<TL,2484.1,-0.3,6.5,-7.6,-10.2,47.8,9.6,183.2,21.1,0.0,0.018000000000000002,0.0,0.09,0.07999999999999999,4.08,3.05,no,5,0,
78,2018-02-17,Sangre,<TL,2487.3,4.1,4.9,-4.9,-14.5,26.0,13.2,238.0,25.3,0.0,0.0,0.0,0.0,0.0,3.04,3.05,no,6,0,
79,2018-02-18,Sangre,<TL,2487.3,6.7,8.1,-0.7,-10.6,29.7,22.9,228.5,49.9,0.0,0.0,0.0,0.0,0.0,4.5600000000000005,2.79,no,7,0,
80,2018-02-19,Sangre,<TL,2487.3,0.1,10.7,-3.0,-6.8,61.6,17.6,147.8,40.6,0.0,0.008,0.0,0.0,0.0,7.599999999999999,2.79,no,8,0,
81,2018-02-20,Sangre,<TL,2471.818181818182,-4.727272727272728,2.363636363636364,-11.818181818181818,-20.09090909090909,30.09090909090909,19.818181818181817,239.8181818181818,42.36363636363637,0.0,0.2627272727272727,0.0,1.1454545454545455,1.548181818181818,4.381818181818182,2.79,yes,0,0,
82,2018-02-21,Sangre,<TL,2476.0,-6.3,-2.8,-17.3,-14.3,53.3,7.6,256.8,16.9,0.0,0.023,0.0,0.16,0.0,5.5600000000000005,2.54,no,1,0,
83,2018-02-22,Sangre,<TL,2471.818181818182,-2.636363636363636,0.4545454545454545,-8.545454545454545,-10.181818181818182,59.72727272727273,14.0,227.54545454545453,32.90909090909091,0.0,0.2527272727272727,0.5099999999999999,3.6,0.10545454545454548,6.5,3.3,yes,0,0,
84,2018-02-23,Sangre,<TL,2487.3,-0.1,0.4,-8.0,-16.2,30.1,13.0,260.3,28.2,0.0,0.068,0.25,1.1800000000000002,0.525,5.1,1.89,yes,0,0,
85,2018-02-24,Sangre,<TL,2498.444444444445,-5.666666666666668,2.7777777777777777,-10.333333333333334,-21.88888888888889,27.33333333333333,19.777777777777786,259.22222222222223,40.66666666666666,0.0,0.0,0.0,0.05555555555555555,0.4600000000000001,5.644444444444442,3.3,no,1,0,
86,2018-02-25,Sangre,<TL,2498.444444444445,-4.777777777777779,-2.0,-11.555555555555555,-19.666666666666668,29.777777777777786,16.77777777777778,253.11111111111111,32.111111111111114,0.0,0.0,0.0,0.0,0.43,5.644444444444442,3.3,no,2,0,
87,2018-02-26,Sangre,<TL,2498.444444444445,1.8888888888888888,1.8888888888888888,-9.111111111111107,-18.88888888888889,19.88888888888889,13.444444444444445,255.22222222222226,24.777777777777786,0.0,0.0,0.25,0.0,0.18,4.533333333333333,3.56,no,3,0,
88,2018-02-27,Sangre,<TL,2536.5,5.25,6.5,-5.5,-20.0,14.75,12.875,236.125,31.25,0.0,0.0,0.0,0.0,0.0,3.8,3.3,no,4,0,
89,2018-02-28,Sangre,<TL,2498.444444444445,3.2222222222222223,8.11111111111111,-5.777777777777778,-14.777777777777779,25.33333333333333,9.888888888888893,255.77777777777766,23.777777777777786,0.0,0.0,0.25,0.0,0.0,3.3777777777777778,3.56,no,5,0,
90,2018-03-01,Sangre,<TL,2487.3,3.8,5.7,-11.2,-12.6,30.6,9.4,198.4,20.3,0.0,0.0,0.0,0.0,0.0,3.04,3.05,no,6,0,
91,2018-03-02,Sangre,<TL,2487.3,8.0,8.4,-2.4,-13.0,21.3,19.2,252.9,38.7,0.0,0.0,0.25,0.0,0.0,2.04,3.56,no,7,0,
92,2018-03-03,Sangre,<TL,2487.3,9.3,11.6,-0.3,-16.8,14.5,15.1,258.3,28.9,0.0,0.0,0.25,0.0,0.030000000000000006,1.0,3.05,no,8,0,
93,2018-03-04,Sangre,<TL,2487.3,7.5,13.8,1.3,-17.6,15.2,25.3,218.5,55.7,0.0,0.0,0.0,0.0,0.0,1.0,1.52,no,9,0,
94,2018-03-05,Sangre,<TL,2487.3,-3.5,8.9,-10.4,-21.7,23.2,17.7,267.2,38.9,0.0,0.0,0.0,0.03,0.0,0.0,0.76,no,10,0,
95,2018-03-06,Sangre,<TL,2493.6666666666665,1.2222222222222223,2.2222222222222223,-8.222222222222221,-21.66666666666667,16.0,11.777777777777779,213.22222222222226,22.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,11,0,
96,2018-03-07,Sangre,<TL,2487.3,5.4,6.5,-10.5,-22.9,11.2,11.9,234.9,23.0,0.0,0.0,0.25,0.0,0.0,0.0,0.76,no,12,0,
97,2018-03-08,Sangre,<TL,2487.3,8.2,9.5,-6.9,-16.6,15.7,15.5,235.6,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,13,0,
98,2018-03-09,Sangre,<TL,2502.6666666666665,9.555555555555557,11.555555555555555,-1.2222222222222223,-13.555555555555555,18.444444444444443,11.444444444444445,225.11111111111111,26.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.02,no,14,0,
99,2018-03-10,Sangre,<TL,2487.3,8.8,11.6,-1.3,-12.1,21.7,13.4,264.1,27.9,0.0,0.0,0.25,0.0,0.14999999999999994,22.9,1.02,no,15,0,
100,2018-03-11,Sangre,<TL,2487.3,2.4,10.9,-8.0,-9.5,41.6,6.2,156.6,14.0,0.0,0.0,0.0,0.0,0.0,22.9,0.51,no,16,0,
101,2018-03-12,Sangre,<TL,2487.3,4.4,7.3,-8.1,-8.4,38.5,7.5,214.6,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.51,no,17,0,
102,2018-03-13,Sangre,<TL,2487.3,6.1,11.6,-3.5,-9.9,30.5,7.3,73.6,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.51,no,18,0,
103,2018-03-14,Sangre,<TL,2487.3,9.1,10.9,-3.6,-4.5,38.0,8.9,221.7,19.4,0.0,0.0,0.25,0.0,0.0,0.0,0.76,no,19,0,
104,2018-03-15,Sangre,<TL,2487.3,9.7,14.8,4.2,-5.9,34.4,16.1,258.4,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,20,0,
105,2018-03-16,Sangre,<TL,2487.3,2.6,12.0,-3.0,-13.5,31.9,25.4,274.1,46.8,0.0,0.015,0.0,0.0,0.04,0.0,1.02,no,21,0,
106,2018-03-17,Sangre,<TL,2487.3,6.2,8.3,-6.2,-11.0,27.4,11.8,187.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,22,0,
107,2018-03-18,Sangre,<TL,2487.3,5.7,10.7,-3.0,-12.2,27.3,15.1,218.9,34.6,0.0,0.0,0.25,0.0,0.0,0.0,0.76,no,23,0,
108,2018-03-19,Sangre,<TL,2487.3,0.5,6.9,-8.6,-14.0,33.5,6.9,239.5,18.5,0.0,0.006,0.0,0.05,0.0,0.0,0.51,no,24,0,
109,2018-03-20,Sangre,<TL,2471.818181818182,2.636363636363636,4.727272727272728,-9.363636363636363,-15.727272727272727,24.90909090909091,17.90909090909091,262.72727272727275,35.36363636363637,0.0,0.0,0.25,0.0,0.0,0.0,0.5099999999999999,no,25,0,
110,2018-03-21,Sangre,<TL,2487.3,6.5,8.2,-7.4,-12.1,24.5,7.6,237.1,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,26,0,
111,2018-03-22,Sangre,<TL,2487.3,11.8,13.0,-2.3,-4.4,31.8,8.2,198.2,18.0,0.0,0.0,0.25,0.0,0.0,0.0,0.76,no,27,0,
112,2018-03-23,Sangre,<TL,2487.3,9.0,16.7,6.3,-1.0,49.4,20.2,203.4,45.8,0.0,0.05900000000000001,0.0,0.0,0.0,0.0,0.76,no,28,0,
113,2018-03-24,Sangre,<TL,2487.3,-0.9,12.4,-3.1,-9.2,56.6,8.3,183.4,14.8,0.0,0.05500000000000002,0.0,0.0,0.0,12.7,0.76,no,29,0,
114,2018-03-25,Sangre,<TL,2508.75,7.0,12.25,2.125,-16.375,17.375,14.0,208.5,32.0,0.0,0.0,0.25,0.0,0.0,2.5,0.76,no,30,0,
115,2018-03-26,Sangre,<TL,2487.3,7.6,12.6,-0.9,-13.4,22.0,13.7,247.9,28.4,0.0,0.0,0.0,0.0,0.43,2.5,0.76,no,31,0,
116,2018-03-27,Sangre,<TL,2487.3,-3.3,11.7,-4.7,-5.7,82.6,13.4,132.8,28.2,0.030000000000000006,0.17800000000000002,0.51,6.29,0.502,7.38,2.03,yes,0,0,
117,2018-03-28,Sangre,<TL,2487.3,4.1,5.3,-7.6,-6.4,47.9,5.5,179.3,13.5,0.0,0.233,0.0,1.4899999999999998,0.29999999999999993,5.58,2.54,yes,0,0,
118,2018-03-29,Sangre,<TL,2513.0,2.2222222222222223,8.11111111111111,-6.666666666666668,-10.333333333333334,38.77777777777778,10.333333333333334,195.77777777777766,22.0,0.0,0.08666666666666667,0.25,0.0,0.18,3.3777777777777778,2.54,no,1,0,
119,2018-03-30,Sangre,<TL,2487.3,6.8,9.1,-5.6,-9.4,29.4,14.0,244.2,25.1,0.0,0.0,0.0,0.0,0.0,5.1,2.79,no,2,0,
120,2018-03-31,Sangre,<TL,2487.3,10.7,13.5,0.5,-9.6,22.7,11.5,225.0,31.1,0.0,0.0,0.25,0.0,0.0,0.0,2.03,no,3,0,
0,2017-12-01,Sawatch,<TL,2691.866666666667,8.866666666666667,10.4,0.5333333333333333,-7.066666666666666,31.6,13.133333333333333,227.33333333333331,33.93333333333333,0.0,0.0,0.0,0.0,0.0,2.9399999999999995,2.29,no,11,0,
1,2017-12-02,Sawatch,<TL,2690.375,8.875,10.5625,0.75,-5.5,35.25,15.5625,223.1875,31.375,0.0,0.0,0.0,0.0,0.0,3.15,2.03,no,12,0,
2,2017-12-03,Sawatch,<TL,2691.866666666667,7.7333333333333325,10.8,-2.4,-7.0,33.93333333333333,15.266666666666667,215.26666666666668,37.46666666666667,0.0,0.0,0.0,0.0,0.0,6.299999999999999,2.03,no,13,0,
3,2017-12-04,Sawatch,<TL,2690.375,-3.25,9.8125,-8.1875,-18.875,28.75,14.625,236.0625,29.3125,0.0,0.04125,0.00375,6.05,0.4025,2.5875000000000004,2.03,yes,0,0,
4,2017-12-05,Sawatch,<TL,2691.866666666667,-1.4,-0.5333333333333333,-13.2,-19.0,25.13333333333333,6.533333333333332,168.53333333333333,14.933333333333335,0.0,0.02666666666666667,0.03,0.14,0.0,2.333333333333333,2.29,no,1,0,
5,2017-12-06,Sawatch,<TL,2691.866666666667,-2.6,2.6666666666666665,-11.533333333333333,-15.533333333333333,36.6,9.066666666666666,145.4,18.2,0.0,0.010666666666666666,0.008666666666666666,0.0,0.0,14.0,2.03,no,2,0,
6,2017-12-07,Sawatch,<TL,2690.375,-5.125,-1.125,-17.0625,-19.625,31.1875,8.0,157.25,22.8125,0.0,0.0,0.0,0.0,0.0,14.0,2.03,no,3,0,
7,2017-12-08,Sawatch,<TL,2690.375,2.875,3.5,-8.875,-15.1875,25.5,9.9375,166.9375,27.3125,0.0,0.003125,0.025,0.1875,0.05,14.0,2.03,no,4,0,
8,2017-12-09,Sawatch,<TL,2690.375,3.5625,7.5,-9.375,-18.4375,18.5625,7.3125,174.9375,13.0,0.0,0.001875,0.001875,0.0,0.0,14.0,2.03,no,5,0,
9,2017-12-10,Sawatch,<TL,2691.866666666667,5.066666666666666,8.066666666666666,-7.6,-21.066666666666666,13.533333333333333,5.2,149.0,9.133333333333333,0.0,0.0,0.0,0.0,0.0,14.0,2.03,no,6,0,
10,2017-12-11,Sawatch,<TL,2691.866666666667,6.4,9.666666666666666,-6.7333333333333325,-19.466666666666665,13.333333333333336,4.933333333333334,156.6,12.466666666666667,0.0,0.002,0.002,0.0,0.0,12.699999999999996,2.03,no,7,0,
11,2017-12-12,Sawatch,<TL,2674.266666666667,8.0,10.266666666666667,-5.7333333333333325,-13.4,20.33333333333333,4.866666666666666,171.4,10.6,0.0,0.0,0.016666666666666666,0.0,0.0,11.400000000000002,2.29,no,8,0,
12,2017-12-13,Sawatch,<TL,2674.266666666667,4.666666666666667,12.066666666666665,-4.333333333333333,-17.6,20.066666666666666,8.533333333333333,183.4,19.133333333333333,0.0,0.0,0.0,0.0,0.0,11.400000000000002,2.03,no,9,0,
13,2017-12-14,Sawatch,<TL,2675.5,-1.5,9.0,-6.357142857142858,-6.571428571428571,68.35714285714286,6.857142857142858,150.57142857142858,12.214285714285715,0.0,0.14285714285714285,0.1,4.75,0.3492857142857143,9.535714285714286,1.1707142857142856,yes,0,0,
